service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025128,0,0,0,0,0,0,0,20160807,20170101
12025129,0,0,0,0,0,0,0,20160806,20161231
2025129,0,0,0,0,0,0,0,20160805,20161230
12025130,0,0,0,0,0,0,0,20161008,20161217
2025127,0,0,0,0,0,0,0,20161003,20161215
2025128,0,0,0,0,0,0,0,20160806,20161231
2025125,0,0,0,0,0,0,0,20160807,20161225
2025126,0,0,0,0,0,0,0,20160802,20161229
12025125,0,0,0,0,0,0,0,20160808,20161226
2025130,0,0,0,0,0,0,0,20161007,20161216
12025126,0,0,0,0,0,0,0,20160803,20161230
12025127,0,0,0,0,0,0,0,20161004,20161216
