service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2025118,0,0,0,0,0,0,0,20160901,20161222
2025119,0,0,0,0,0,0,0,20161001,20161231
2025114,0,0,0,0,0,0,0,20161111,20161111
2025115,0,0,0,0,0,0,0,20161003,20161215
2025116,0,0,0,0,0,0,0,20160802,20160825
2025117,0,0,0,0,0,0,0,20160829,20161229
2025122,0,0,0,0,0,0,0,20161007,20161216
12025120,0,0,0,0,0,0,0,20160807,20160925
2025121,0,0,0,0,0,0,0,20160805,20160826
12025121,0,0,0,0,0,0,0,20160806,20160827
12025122,0,0,0,0,0,0,0,20161008,20161217
2025124,0,0,0,0,0,0,0,20160902,20161223
2025123,0,0,0,0,0,0,0,20161031,20161230
12025123,0,0,0,0,0,0,0,20161101,20161231
12025124,0,0,0,0,0,0,0,20160903,20161224
2025120,0,0,0,0,0,0,0,20160806,20160924
12025114,0,0,0,0,0,0,0,20161112,20161112
12025113,0,0,0,0,0,0,0,20160815,20160815
12025116,0,0,0,0,0,0,0,20160803,20160826
12025115,0,0,0,0,0,0,0,20161004,20161216
12025112,0,0,0,0,0,0,0,20161003,20161226
12025111,0,0,0,0,0,0,0,20160808,20160926
12025118,0,0,0,0,0,0,0,20160902,20161223
12025117,0,0,0,0,0,0,0,20160830,20161230
12025119,0,0,0,0,0,0,0,20161002,20170101
2025113,0,0,0,0,0,0,0,20160814,20160814
2025112,0,0,0,0,0,0,0,20161002,20161225
2025111,0,0,0,0,0,0,0,20160807,20160925
